movie_title,movie_info,movie_rating
The Sun Is Also a Star,"College-bound romantic Daniel Bae and Jamaica-born pragmatist Natasha Kingsley meet--and fall for each other--over one magical day amidst the fervor and flurry of New York City. Sparks immediately fly between these two strangers, who might never have met had fate not given them a little push. But will fate be enough to take these teens from star-crossed to lucky in love? With just hours left on the clock in what looks to be her last day in the U.S., Natasha is fighting against her family's deportation as fiercely as she's fighting her budding feelings for Daniel, who is working just as hard to convince her they are destined to be together. A modern-day story about finding love against all odds, ""The Sun Is Also a Star"" explores whether our lives are determined by fate or the random events of the universe.",PG-13
The Unicorn,"When an engaged couple, Caleb (Nick Rutherford) and Malory (Lauren Lapkus), is forced to visit Palm Springs for a weekend to celebrate Malory's parents' 25th wedding vow renewal, they discover the apparent secret to their happy marriage. Determined to properly celebrate their own 're-engagement,' they set out on a wild night, but this fun and innocent new experience takes an intense turn, exposing deeper relationship problems and threatening their future together.",NR
The Upside,"Inspired by a true story, The Upside is a heartfelt comedy about a recently paroled ex-convict (Kevin Hart) who strikes up an unusual and unlikely friendship with a paralyzed billionaire (Bryan Cranston). Directed by Neil Burger and written by Jon Hartmere, The Upside is based on the hit 2011 French film The Intouchables.",PG-13
The Vanishing,"Gerard Butler (Hunter Killer) and Peter Mullan (""Ozark"") star in this tense, action-packed thriller based on true events. After three lighthouse keepers arrive for work on a remote Scottish isle, they make a fateful discovery: a wrecked rowboat-with a chest full of gold. As a mysterious boat heads toward the island, the three men make a choice that will change their lives forever, ensnaring them in a web of greed, paranoia, and murder.",R
The White Crow,"Ralph Fiennes' THE WHITE CROW was inspired by the book Rudolf Nureyev: The Life by Julie Kavanaugh. The drama charts the iconic dancer's famed defection from the Soviet Union to the West in 1961, despite KGB efforts to stop him.",R
The Wind,"An unseen evil haunts the homestead in this chilling, folkloric tale of madness, paranoia, and otherworldly terror. Lizzy (Caitlin Gerard) is a tough, resourceful frontierswoman settling a remote stretch of land on the 19th-century American frontier. Isolated from civilization in a desolate wilderness where the wind never stops howling, she begins to sense a sinister presence that seems to be borne of the land itself, an overwhelming dread that her husband (Ashley Zukerman) dismisses as superstition. When a newlywed couple arrives on a nearby homestead, their presence amplifies Lizzy's fears, setting into motion a shocking chain of events. Masterfully blending haunting visuals with pulse-pounding sound design, director Emma Tammi evokes a godforsaken world in which the forces of nature come alive with quivering menace.",R
Then Came You,"THEN CAME YOU is a sweet, uplifting tale that reminds us it's not how long we live, but how we live the life we have, that matters. The film tells the story of Skye (Maisie Williams), a spunky teenager with a terminal illness who befriends Calvin (Asa Butterfield), a 19-year old hypochondriac who is afraid of his own shadow. Calvin helps Skye carry out her eccentric bucket list of things to do before she dies. In the process, he learns to confront and conquer his own fears, including falling in love with the beautiful, but seemingly untouchable, Izzy (Nina Dobrev).",NR
Tolkien,"TOLKIEN explores the formative years of the renowned author's life as he finds friendship, courage and inspiration among a fellow group of writers and artists at school. Their brotherhood strengthens as they grow up and weather love and loss together, including Tolkien's tumultuous courtship of his beloved Edith Bratt, until the outbreak of the First World War which threatens to tear their fellowship apart. All of these experiences would later inspire Tolkien to write his famous Middle-earth novels.",PG-13
Toy Story 4,"Woody (voice of Tom Hanks) has always been confident about his place in the world, and that his priority is taking care of his kid, whether that's Andy or Bonnie. So when Bonnie's beloved new craft-project-turned-toy, Forky (voice of Tony Hale), declares himself as ""trash"" and not a toy, Woody takes it upon himself to show Forky why he should embrace being a toy. But when Bonnie takes the whole gang on her family's road trip excursion, Woody ends up on an unexpected detour that includes a reunion with his long-lost friend Bo Peep (voice of Annie Potts). After years of being on her own, Bo's adventurous spirit and life on the road belie her delicate porcelain exterior. As Woody and Bo realize they're worlds apart when it comes to life as a toy, they soon come to find that's the least of their worries.",G
Transit,"As fascism spreads, German refugee Georg (Franz Rogowski) flees to Marseille and assumes the identity of the dead writer whose transit papers he is carrying. Living among refugees from around the world, Georg falls for Marie (Paula Beer), a mysterious woman searching for her husband--the man whose identity he has stolen. Adapted from Anna Segher's 1942 novel, TRANSIT transposes the original story to the present, blurring periods to create a timeless exploration of the plight of displaced people.",NR
Triple Frontier,"A group of former Special Forces operatives (Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund and Pedro Pascal) reunite to plan a heist in a sparsely populated multi-border zone of South America. For the first time in their prestigious careers these unsung heroes undertake this dangerous mission for self instead of country. But when events take an unexpected turn and threaten to spiral out of control, their skills, their loyalties and their morals are pushed to a breaking point in an epic battle for survival. Directed by Academy Award (R) nominee J.C. Chandor (Margin Call, All Is Lost, A Most Violent Year) and co-written by Chandor and Academy Award (R) winner Mark Boal (The Hurt Locker, Zero Dark Thirty).",R
Triple Threat,"TRIPLE THREAT, the newest feature from Johnson, is an adrenaline fueled and gritty action thriller starring some of the biggest names in action today. Michael Jai White (BLACK DYNAMITE; UNDISPUTED 2: LAST MAN STANDING), Scott Adkins (Marvel's DOCTOR STRANGE; THE EXPENDABLES 2), Michael Bisping (xXx: RETURN OF XANDER CAGE) star as a group of professional assassins hired to take out a billionaire's daughter who is intent on bringing down a major crime syndicate. A down and out team of mercenaries, played by Tony Jaa (ONG BAK TRILOGY; xXx: RETURN OF XANDER CAGE), Iko Uwais (THE RAID 1 & 2; STAR WARS: THE FORCE AWAKENS) and Tiger Chen (MAN OF TAI CHI), must take on the assassins and stop them before they kill their target. The film co-stars JeeJa Yanin (CHOCOLATE) Michael Wong (Cold War) and Celina Jade (WOLF WARRIOR 2).",R
Tyler Perry's A Madea Family Funeral,"A joyous family reunion turns into a hilarious nightmare as Madea and the crew travel to backwoods Georgia and unexpectedly plan a funeral, which threatens to reveal sordid family secrets.",PG-13
UglyDolls,"In the adorably different town of Uglyville, weird is celebrated, strange is special and beauty is embraced as more than simply meets the eye. Here, the free-spirited Moxy (Clarkson) and her UglyDoll friends live every day in a whirlwind of bliss, letting their freak flags fly in a celebration of life and its endless possibilities. In this all-new story, the UglyDolls will go on a journey beyond the comfortable borders of Uglyville. There, they will confront what it means to be different, struggle with their desire to be loved, and ultimately discover that you don't have to be perfect to be amazing because who you truly are is what matters most.",PG
Under the Silver Lake,"Sam (Andrew Garfield) is a disenchanted 33-year-old who discovers a mysterious woman, Sarah (Riley Keough), frolicking in his apartment's swimming pool. When she vanishes, Sam embarks on a surreal quest across Los Angeles to decode the secret behind her disappearance, leading him into the murkiest depths of mystery, scandal, and conspiracy in the City of Angels.",R
Unicorn Store,"Kit (Brie Larson) is a lonely twenty-something dreamer who's reluctant to leave the comforts of childhood and fully embrace adulthood. But when art school sends her packing, Kit is forced to move back home with her parents and take a temp job in a boring office. Just when she's resolved to finally put her Care Bears aside and grow up, a mysterious salesman (Samuel L. Jackson) enters Kit's life and offers to give her childlike heart its greatest desire. Larson's directorial debut, with a script by Samantha McIntyre, is a love letter to everyone's inner child, and a reminder that no dream is impossible.",NR
Unplanned,"As one of the youngest Planned Parenthood clinic directors in the nation, Abby Johnson was involved in upwards of 22,000 abortions and counseled countless women on their reproductive choices. Her passion surrounding a woman's right to choose led her to become a spokesperson for Planned Parenthood, fighting to enact legislation for the cause she so deeply believed in. Until the day she saw something that changed everything.",R
Us,"Haunted by an unexplainable and unresolved trauma from her past and compounded by a string of eerie coincidences, Adelaide feels her paranoia elevate to high-alert as she grows increasingly certain that something bad is going to befall her family. After spending a tense beach day with their friends, the Tylers (Emmy winner Elisabeth Moss, Tim Heidecker, Cali Sheldon, Noelle Sheldon), Adelaide and her family return to their vacation home. When darkness falls, the Wilsons discover the silhouette of four figures holding hands as they stand in the driveway. Us pits an endearing American family against a terrifying and uncanny opponent: doppelgängers of themselves.",R
Velvet Buzzsaw,"Velvet Buzzsaw is a satirical thriller set in the contemporary art world scene of Los Angeles, where big money artists and mega-collectors pay a high price when art collides with commerce.",R
What Men Want,"Inspired by the Nancy Meyers hit romantic comedy WHAT WOMEN WANT, this film follows the story of a female sports agent (Henson) who has been constantly boxed out by her male colleagues. When she gains the power to hear mens' thought, she is able to shift the paradigm to her advantage as she races to sign the NBA's next superstar",R
Wild Rose,"WILD ROSE tells the complicated story of Rose-Lynn, a woman on a quest to become a country music star, while also grappling with the responsibilities of being recently released from prison and a young mother of two children.",R
Wine Country,"In honor of Rebecca (Rachel Dratch)'s 50th birthday, Abby (Amy Poehler) plans a scenic Napa getaway with their best, longtime friends. Workaholic Catherine (Ana Gasteyer), post-op Val (Paula Pell), homebody Jenny (Emily Spivey), and weary mom Naomi (Maya Rudolph) are equally sold on the chance to relax and reconnect. Yet as the alcohol flows, real world uncertainties intrude on the punchlines and gossip, and the women begin questioning their friendships and futures.",R
Yesterday,"Jack Malik (Himesh Patel, BBC's Eastenders) is a struggling singer-songwriter in a tiny English seaside town whose dreams of fame are rapidly fading, despite the fierce devotion and support of his childhood best friend, Ellie (Lily James, Mamma Mia! Here We Go Again). Then, after a freak bus accident during a mysterious global blackout, Jack wakes up to discover that The Beatles have never existed... and he finds himself with a very complicated problem, indeed.",PG-13
